#name	freq	kmpr	ikmpr	df	doodson1	doodson2	doodson3	doodson4	doodson5	doodson6	semi	isat	nsat	ishallow	nshallow	doodsonamp	doodsonspecies
ST27	0.366648	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	225.000000	3.000000	NaN	NaN
ST28	0.401045	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	228.000000	2.000000	NaN	NaN
M10 	0.402557	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	230.000000	1.000000	NaN	NaN
ST29	0.403867	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	231.000000	3.000000	NaN	NaN
ST30	0.405379	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	234.000000	2.000000	NaN	NaN
ST31	0.406917	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	236.000000	4.000000	NaN	NaN
ST32	0.408201	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	240.000000	2.000000	NaN	NaN
ST33	0.447160	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	242.000000	3.000000	NaN	NaN
M12 	0.483068	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	245.000000	1.000000	NaN	NaN
ST34	0.485890	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	246.000000	2.000000	NaN	NaN
ST35	0.487428	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	248.000000	4.000000	NaN	NaN
